Vector Size, CPU Time (s), CPU Multithreaded Time (s), GPU Atomic Time (s), GPU Reduction Time (s), Speedup CPU/Multithreaded, Speedup CPU/GPU Atomic, Speedup CPU/GPU Reduction
100000,0.000169,0.0001613,0.0008843,0.0013945,1.04774,0.191112,0.12119
200000,0.0003047,0.0003124,0.0009366,0.001013,0.975352,0.325326,0.30079
300000,0.0004535,0.000233,0.0009732,0.0007998,1.94635,0.465988,0.567017
400000,0.000596,0.000307,0.0010929,0.0009814,1.94137,0.545338,0.607296
500000,0.0007382,0.0004107,0.0011851,0.001145,1.79742,0.622901,0.644716
600000,0.000894,0.0004621,0.0016628,0.0014508,1.93465,0.537647,0.616212
700000,0.0010408,0.0005407,0.0016079,0.0015061,1.92491,0.647304,0.691056
800000,0.0012239,0.0006148,0.0017756,0.0016228,1.99073,0.689288,0.75419
900000,0.0013452,0.0007154,0.0021957,0.0020584,1.88035,0.612652,0.653517
1000000,0.0014909,0.000762,0.0022567,0.0019696,1.95656,0.660655,0.756956
